epoch,train_loss,train_acc,val_loss,val_acc
1,0.4640040394506956,0.8085526315789474,0.6111517140739843,0.7368421052631579
2,0.06554033008257025,0.993421052631579,0.7252599659718966,0.7368421052631579
3,0.031858415999694877,0.9927631578947368,0.8026433430219951,0.7631578947368421
4,0.012392415611171409,1.0,0.7360101875505949,0.7631578947368421
5,0.008805678118216365,0.9993421052631579,0.83027604379152,0.7894736842105263
6,0.004957947452356549,1.0,0.7102929165488795,0.8157894736842105
7,0.0036615023021831323,1.0,0.8662192445052298,0.7631578947368421
8,0.003630398968724828,1.0,0.9297979819147211,0.7631578947368421
9,0.01210287688177471,0.9980263157894737,0.7834749410026952,0.7894736842105263
10,0.006617890178274952,1.0,0.7207728812569066,0.8421052631578947
